Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740494443,2025-02-25T14:40:43Z,LXJ560,"41.786785,-87.760788",0,1,75
1740494759,2025-02-25T14:45:59Z,LXJ560,"41.786888,-87.760414",0,0,73
1740494769,2025-02-25T14:46:09Z,LXJ560,"41.786907,-87.760048",0,5,87
1740494788,2025-02-25T14:46:28Z,LXJ560,"41.786934,-87.759087",0,0,81
1740494795,2025-02-25T14:46:35Z,LXJ560,"41.787083,-87.758774",0,0,50
1740494808,2025-02-25T14:46:48Z,LXJ560,"41.78706,-87.758446",0,7,120
1740494817,2025-02-25T14:46:57Z,LXJ560,"41.786705,-87.75795",0,0,135
1740494822,2025-02-25T14:47:02Z,LXJ560,"41.786556,-87.757729",0,10,132
1740494830,2025-02-25T14:47:10Z,LXJ560,"41.786289,-87.75737",0,10,135
1740494844,2025-02-25T14:47:24Z,LXJ560,"41.785999,-87.75695",0,3,132
1740494861,2025-02-25T14:47:41Z,LXJ560,"41.785824,-87.756714",0,6,135
1740494872,2025-02-25T14:47:52Z,LXJ560,"41.785488,-87.755997",0,10,94
1740494880,2025-02-25T14:48:00Z,LXJ560,"41.78577,-87.75563",0,13,35
1740494890,2025-02-25T14:48:10Z,LXJ560,"41.786339,-87.75489",0,21,47
1740494893,2025-02-25T14:48:13Z,LXJ560,"41.786549,-87.754646",0,21,41
1740494897,2025-02-25T14:48:17Z,LXJ560,"41.786831,-87.754272",0,22,48
1740494900,2025-02-25T14:48:20Z,LXJ560,"41.786999,-87.754044",0,19,49
1740494903,2025-02-25T14:48:23Z,LXJ560,"41.78722,-87.753883",0,19,28
1740494906,2025-02-25T14:48:26Z,LXJ560,"41.787281,-87.753647",0,14,54
1740494927,2025-02-25T14:48:47Z,LXJ560,"41.787498,-87.753403",0,7,54
1740494935,2025-02-25T14:48:55Z,LXJ560,"41.787689,-87.753166",0,9,43
1740494941,2025-02-25T14:49:01Z,LXJ560,"41.787868,-87.752937",0,11,46
1740495073,2025-02-25T14:51:13Z,LXJ560,"41.787998,-87.752731",0,2,71
1740495480,2025-02-25T14:58:00Z,LXJ560,"41.788212,-87.752518",0,6,48
1740495485,2025-02-25T14:58:05Z,LXJ560,"41.788368,-87.752312",0,11,39
1740495489,2025-02-25T14:58:09Z,LXJ560,"41.788559,-87.751999",0,15,55
1740495497,2025-02-25T14:58:17Z,LXJ560,"41.788898,-87.751602",0,13,46
1740495501,2025-02-25T14:58:21Z,LXJ560,"41.789131,-87.751389",0,16,38
1740495507,2025-02-25T14:58:27Z,LXJ560,"41.78944,-87.750938",0,15,42
1740495511,2025-02-25T14:58:31Z,LXJ560,"41.789669,-87.750641",0,18,45
1740495516,2025-02-25T14:58:36Z,LXJ560,"41.78997,-87.750328",0,16,31
1740495519,2025-02-25T14:58:39Z,LXJ560,"41.790138,-87.750061",0,20,51
1740495525,2025-02-25T14:58:45Z,LXJ560,"41.790501,-87.749657",0,14,42
1740495533,2025-02-25T14:58:53Z,LXJ560,"41.79081,-87.749283",0,15,38
1740495537,2025-02-25T14:58:57Z,LXJ560,"41.791069,-87.74929",0,10,355
1740495544,2025-02-25T14:59:04Z,LXJ560,"41.791351,-87.749657",0,12,295
1740495551,2025-02-25T14:59:11Z,LXJ560,"41.791359,-87.750183",0,16,273
1740495556,2025-02-25T14:59:16Z,LXJ560,"41.791328,-87.750511",0,13,262
1740495561,2025-02-25T14:59:21Z,LXJ560,"41.791199,-87.750763",0,8,232
1740495566,2025-02-25T14:59:26Z,LXJ560,"41.790981,-87.751038",0,12,231
1740495571,2025-02-25T14:59:31Z,LXJ560,"41.790741,-87.751289",0,14,223
1740495575,2025-02-25T14:59:35Z,LXJ560,"41.790581,-87.751503",0,9,217
1740495603,2025-02-25T15:00:03Z,LXJ560,"41.79047,-87.751732",0,5,236
1740496209,2025-02-25T15:10:09Z,LXJ560,"41.790279,-87.751984",0,5,234
1740496216,2025-02-25T15:10:16Z,LXJ560,"41.79015,-87.752281",0,8,239
1740496223,2025-02-25T15:10:23Z,LXJ560,"41.790218,-87.752548",0,6,274
1740496232,2025-02-25T15:10:32Z,LXJ560,"41.790409,-87.753029",0,9,303
1740496237,2025-02-25T15:10:37Z,LXJ560,"41.79052,-87.753273",0,10,290
1740496241,2025-02-25T15:10:41Z,LXJ560,"41.790665,-87.753487",0,10,309
